"","min","max","mean","sd","skewness","kurtosis","JB_statistic","JB_p_val"
"demand",864718,1729547.25,1338413.35373153,163847.535079694,-0.235804251161668,2.33021051107696,109.769739494183,0
"solar",4906.25,477677.25,132869.327432503,93802.0135190727,0.65052311265476,2.83067970955842,281.590819047735,0
"wind",7392.75,1180615.5,312621.056673461,222786.692137729,1.06034311735737,3.58527039265305,791.719047526761,0
"demand_log",13.6701587212,14.3633702270209,14.0992176911483,0.126047738450223,-0.479368275964909,2.53867737609089,185.175407343447,0
"CF_solar_log",-5.73172572486864,-1.33150803409808,-2.56324304573334,0.913022811539467,-0.855812467148491,2.74736716653781,489.683970643581,0
"CF_wind_log",-5.40141988186319,-0.184347178782299,-1.66880602088938,0.766441263126442,-0.386042179134036,2.71435289141462,110.861819862872,0
